"pagos","gratis","carga.paga","carga.gratis","correio"
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,7376,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,16711,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,6415,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
187,5,0,600,0
5051,139,42538,16131,0
6206,273,281329,19250,0
0,0,196428,0,0
0,0,0,0,0
3928,109,54739,15000,0
4651,200,253624,15000,0
0,0,244862,0,0
0,0,0,0,0
4445,183,333153,18380,0
5194,224,290612,18600,0
0,0,459604,0,0
0,0,0,0,0
198,5,14170,600,0
5284,214,263661,18022,0
5941,237,286957,18928,0
0,0,719356,0,0
0,0,63527,0,0
0,0,0,0,0
6021,191,207720,19740,0
5933,331,364908,18980,0
0,0,759336,0,0
0,0,0,0,0
5475,127,163403,18160,0
5282,168,352846,17780,0
0,0,469854,0,0
0,0,0,0,0
6171,123,203259,19200,0
6082,188,250799,19430,0
0,0,404884,0,0
0,0,0,0,0
6112,129,157173,18980,0
4513,208,141870,15980,0
0,0,0,0,0
0,0,666284,0,0
0,0,0,0,0
5444,139,356596,18000,0
5495,174,121448,16920,0
0,0,0,0,0
0,0,857642,0,0
0,0,0,0,0
3994,151,244558,13200,0
5152,184,213807,15000,0
0,0,0,0,0
0,0,465149,0,0
0,0,319321,0,0
0,0,0,0,0
4543,141,137306,13200,0
5526,190,222960,10800,0
0,0,0,0,0
0,0,718589,0,0
0,0,0,0,0
6115,106,143314,14400,0
10851,168,278107,21600,0
0,0,0,0,0
0,0,617223,0,0
956,2,98,0,0
586,9,0,0,0
982,1,26974,0,0
1675,8,28610,0,0
5933,33,86290,0,0
213,0,2107,0,0
10062,81,236408,0,0
9970,69,108253,0,0
21429,121,1331311,0,251
5642,15,180541,0,413
999,1,32439,0,0
721,1,165,0,0
465,8,1,0,0
795,3,12466,0,0
1786,22,385,0,0
4162,33,106927,20186,0
10233,137,379525,2310,465
7289,97,121910,0,0
15923,204,1196740,7037,10732
4803,21,253670,844,0
763,2,19925,0,0
903,1,6156,0,0
643,0,1355,543,0
780,5,17659,0,0
2233,33,53153,0,0
4686,31,259212,4759,0
9483,94,391851,3124,1135
7906,137,212296,246,0
19585,168,1449454,8710,11730
5561,19,321047,545,0
731,5,28577,0,0
334,0,17653,0,0
0,0,14110,0,0
775,1,4968,0,0
563,6,0,0,0
771,8,24993,0,0
2666,43,206021,0,0
4745,48,371307,0,21
0,0,0,0,0
9781,90,338460,2570,714
6165,108,222382,0,0
19192,245,1121968,6598,16544
5865,13,258180,893,0
721,2,34608,0,0
233,1,0,0,0
0,0,0,0,0
1090,0,10540,0,0
566,0,10975,0,0
1506,4,64118,2870,0
2484,9,165072,0,0
4449,29,328370,9890,0
9550,10,353100,2579,524
5842,14,260739,96,0
18819,128,1284484,3442,19051
5588,12,256425,989,0
1255,0,28793,0,0
476,0,3964,0,0
0,0,0,0,0
0,0,0,0,0
1130,5,35578,0,0
689,0,0,0,0
1713,8,41882,832,0
2343,21,196844,0,0
4814,50,445818,9968,0
9076,74,426159,2673,0
2343,37,0,0,0
5551,70,314564,0,0
17120,274,1215946,3546,17910
5041,17,274241,841,0
1463,8,54726,0,0
613,3,2642,0,0
0,0,0,0,0
1104,2,50065,0,0
556,7,0,0,0
1496,8,34870,0,0
2282,3,75479,1550,0
4157,20,264899,0,0
3974,22,284252,8303,0
3429,21,53969,90,0
8961,68,401712,2828,1050
2429,34,0,0,0
9115,68,189791,0,0
18240,348,1142110,7122,16668
5391,12,267014,498,0
1669,15,30194,0,0
870,6,14862,0,0
0,0,0,0,0
908,1,43563,0,0
545,3,0,0,0
1189,1,19594,0,0
1802,6,40880,3016,0
2334,16,148377,0,0
4544,31,185110,5523,0
3405,17,94354,0,0
9741,77,472988,2318,2321
2497,48,31228,0,0
7875,116,290963,0,0
15017,235,1145514,3151,36340
6549,38,341358,918,0
1129,6,35459,0,0
564,1,22850,0,0
193,0,1545,0,0
872,1,11427,0,0
563,3,0,0,0
1350,10,9729,0,0
1652,3,44841,1560,0
2467,19,20425,0,0
4722,69,72057,13147,0
3141,27,86743,0,0
8985,84,390651,2537,23
2103,52,83,0,0
7881,103,290741,0,0
16616,226,1118625,5242,49967
5715,33,292891,517,267
1411,8,35930,0,0
588,15,13684,0,0
0,0,0,0,0
900,1,8701,0,0
0,0,0,0,0
436,1,0,0,0
1130,3,50266,0,0
2052,4,104962,0,0
2570,20,44930,0,0
5024,62,119454,10006,0
3210,14,145015,110,0
9520,80,469561,2248,33
5833,86,436794,0,0
18204,274,1375227,7794,49032
0,0,0,0,0
5803,26,280610,703,0
1506,3,27285,0,0
606,1,16885,0,0
0,0,0,0,0
1138,2,8007,0,0
541,2,0,0,0
1580,2,25346,2395,0
2573,15,68759,0,0
2829,31,152648,0,0
5694,60,137449,4516,0
2547,20,121011,0,0
8552,55,429501,2273,30
6062,101,278124,0,0
19172,250,1150600,5049,58612
5385,8,254704,221,0
186,0,12335,0,0
1575,5,26012,0,0
683,6,25247,0,0
1335,2,3637,0,0
772,1,0,0,0
1771,5,34434,0,0
2846,1,80723,1955,0
4431,15,49990,0,0
4821,33,42100,0,0
3237,13,148295,0,0
8978,54,477290,2969,0
1434,9,3620,0,0
9495,104,169397,95,0
