"pagos","gratis","carga.paga","carga.gratis","correio"
8171,43,308914,1989,13082
5988,17,150325,12,4895
5840,30,56943,0,0
4414,43,145934,0,0
226,0,0,0,0
226,0,0,0,0
1988,5,917,0,0
6926,44,3267,0,0
6884,44,37812,0,0
6877,93,299571,0,0
2192,24,29391,0,0
10961,182,189534,0,0
2226,18,30221,0,0
15542,185,299432,0,4319
3379,70,41253,0,0
9676,113,236583,0,0
4332,107,194489,0,0
7151,89,332040,0,0
262,6,17987,0,0
1561,14,3230,0,0
5281,30,9734,0,57
5724,13,23475,0,0
5375,84,361835,0,0
1813,20,30299,0,0
9562,188,213369,0,117
1935,21,27766,0,0
13381,154,282806,0,3085
2833,92,50892,0,0
7399,87,310094,0,0
3527,87,191358,0,0
262,6,17987,0,0
5265,58,246548,0,0
1869,10,5574,0,0
6018,48,11625,0,0
6164,27,131836,0,0
5586,52,324819,0,0
2067,31,37387,0,0
10913,170,306708,0,0
1973,19,27433,0,0
15765,192,265072,0,4268
739,15,14565,0,0
7817,102,359215,0,0
3708,140,202102,0,0
6328,67,349110,0,0
1853,23,15964,0,0
7322,59,2238,0,0
5951,43,142568,0,235
6290,127,322799,0,0
2315,28,40647,0,0
10562,126,264644,0,4331
2087,32,9258,0,0
15243,178,341019,0,1015
4336,74,48152,0,0
7883,66,203456,0,0
3473,115,98542,0,0
7365,85,338667,0,0
955,1,5549,0,0
2143,13,36500,0,0
5714,30,5374,0,0
5734,63,97153,0,0
5709,72,229604,0,0
2292,17,22988,0,0
12290,224,207241,0,0
1981,23,10237,0,0
16818,228,261869,0,1203
3803,85,71106,0,0
8624,52,232843,0,0
3272,57,130957,0,0
7688,50,302521,0,0
2787,18,13853,0,0
7060,47,13719,0,0
7580,38,136768,0,0
6672,51,348595,17167,510
1836,17,30013,0,0
12930,126,374611,0,0
2090,15,12147,0,0
19211,253,321343,0,4761
4034,58,112232,0,0
8496,46,273390,0,0
2226,10,42194,0,0
6058,38,315664,0,0
2945,16,25675,0,0
6813,65,2455,0,0
6887,45,77048,0,0
6817,50,320288,0,0
1997,18,48078,0,0
12797,150,301266,0,0
1465,14,9365,0,0
17971,223,177721,0,6829
3888,88,84489,0,0
9254,79,351012,0,0
2435,18,37507,0,0
6134,45,343091,0,0
2561,22,20178,0,0
6836,44,36587,0,0
7126,48,85828,0,0
6725,84,241534,0,0
1835,27,30434,0,0
13008,169,236543,0,0
1802,21,6165,0,0
17706,306,138402,0,3325
3860,77,52365,0,0
8995,113,418464,0,0
2657,22,60532,0,0
6546,57,351652,0,0
274,0,112,0,0
2949,17,55938,0,0
274,0,112,0,0
6925,37,10049,0,0
7290,44,233412,0,0
6716,64,306709,0,0
1857,26,37648,0,0
13161,158,235976,0,0
2069,11,12383,0,0
18796,233,146074,0,1698
4054,107,39000,0,0
8273,105,373610,0,0
2455,31,117312,0,0
6186,45,301501,0,0
1737,15,28112,0,0
5351,21,52487,0,0
5995,24,100750,0,0
5954,59,295487,0,0
1894,18,34424,0,0
8866,113,233656,0,0
1818,12,6144,0,0
17613,223,207808,0,6451
3210,69,32122,0,0
6936,76,415831,0,0
2235,23,132565,0,0
5086,49,312025,0,0
1359,9,27142,0,0
4142,30,26586,0,0
4181,25,166139,0,0
6096,105,337068,0,0
1755,14,29628,0,0
8289,152,224507,0,0
1522,21,15550,0,0
15652,222,186363,0,1783
1963,46,36448,0,0
6035,100,262296,0,0
3015,57,163081,0,0
5525,61,376798,0,0
2413,18,34069,0,47
6065,43,19805,0,0
5790,38,170868,0,0
6547,88,271183,0,0
1796,36,25270,0,0
10065,153,237219,0,0
